arm,benchmark,language,metric,n_seeds,mean,std,ci_low,ci_high,values
A1,aime2024,en,maj_at_8,3,0.3222,0.0694,0.2667,0.4,"0.3000,0.4000,0.2667"
A1,aime2024,en,pass_at_1,3,0.1444,0.077,0.1,0.2333,"0.1000,0.2333,0.1000"
A1,amc23,en,maj_at_4,2,0.7625,0.0177,0.75,0.775,"0.7750,0.7500"
A1,amc23,en,pass_at_1,3,0.5667,0.1127,0.45,0.675,"0.5750,0.4500,0.6750"
A1,math500,en,pass_at_1,3,0.5967,0.0168,0.586,0.616,"0.5880,0.6160,0.5860"
A1,mgsm,bn,pass_at_1,2,0.204,0.017,0.192,0.216,"0.1920,0.2160"
A1,mgsm,de,pass_at_1,2,0.562,0.0028,0.56,0.564,"0.5640,0.5600"
A1,mgsm,en,pass_at_1,2,0.806,0.0085,0.8,0.812,"0.8120,0.8000"
A1,mgsm,es,pass_at_1,2,0.636,0.0453,0.604,0.668,"0.6680,0.6040"
A1,mgsm,fr,pass_at_1,2,0.624,0.0057,0.62,0.628,"0.6280,0.6200"
A1,mgsm,ja,pass_at_1,2,0.368,0.0057,0.364,0.372,"0.3640,0.3720"
A1,mgsm,ru,pass_at_1,2,0.592,0.0,0.592,0.592,"0.5920,0.5920"
A1,mgsm,sw,pass_at_1,2,0.022,0.0141,0.012,0.032,"0.0320,0.0120"
A1,mgsm,th,pass_at_1,2,0.234,0.0141,0.224,0.244,"0.2440,0.2240"
A1,mgsm,zh,pass_at_1,2,0.676,0.0226,0.66,0.692,"0.6920,0.6600"
A2,aime2024,en,maj_at_8,3,0.3444,0.0192,0.3333,0.3667,"0.3333,0.3333,0.3667"
A2,aime2024,en,pass_at_1,3,0.2,0.0577,0.1667,0.2667,"0.1667,0.1667,0.2667"
A2,amc23,en,maj_at_4,2,0.775,0.0354,0.75,0.8,"0.8000,0.7500"
A2,amc23,en,pass_at_1,3,0.5667,0.052,0.525,0.625,"0.5250,0.6250,0.5500"
A2,math500,en,pass_at_1,3,0.608,0.0104,0.602,0.62,"0.6020,0.6200,0.6020"
A2,mgsm,bn,pass_at_1,2,0.188,0.0057,0.184,0.192,"0.1920,0.1840"
A2,mgsm,de,pass_at_1,2,0.544,0.0113,0.536,0.552,"0.5360,0.5520"
A2,mgsm,en,pass_at_1,2,0.802,0.0141,0.792,0.812,"0.7920,0.8120"
A2,mgsm,es,pass_at_1,2,0.664,0.017,0.652,0.676,"0.6760,0.6520"
A2,mgsm,fr,pass_at_1,2,0.61,0.0141,0.6,0.62,"0.6200,0.6000"
A2,mgsm,ja,pass_at_1,2,0.364,0.017,0.352,0.376,"0.3520,0.3760"
A2,mgsm,ru,pass_at_1,2,0.594,0.0085,0.588,0.6,"0.5880,0.6000"
A2,mgsm,sw,pass_at_1,2,0.022,0.0141,0.012,0.032,"0.0120,0.0320"
A2,mgsm,th,pass_at_1,2,0.224,0.0,0.224,0.224,"0.2240,0.2240"
A2,mgsm,zh,pass_at_1,2,0.68,0.0339,0.656,0.704,"0.6560,0.7040"
A3,aime2024,en,maj_at_8,3,0.3778,0.0192,0.3667,0.4,"0.3667,0.3667,0.4000"
A3,aime2024,en,pass_at_1,3,0.2111,0.0192,0.2,0.2333,"0.2333,0.2000,0.2000"
A3,amc23,en,maj_at_4,2,0.65,0.0707,0.6,0.7,"0.7000,0.6000"
A3,amc23,en,pass_at_1,3,0.575,0.0661,0.525,0.65,"0.5250,0.5500,0.6500"
A3,math500,en,pass_at_1,3,0.6073,0.0061,0.602,0.614,"0.6060,0.6140,0.6020"
A3,mgsm,bn,pass_at_1,2,0.19,0.0198,0.176,0.204,"0.1760,0.2040"
A3,mgsm,de,pass_at_1,2,0.56,0.017,0.548,0.572,"0.5720,0.5480"
A3,mgsm,en,pass_at_1,2,0.81,0.0141,0.8,0.82,"0.8200,0.8000"
A3,mgsm,es,pass_at_1,2,0.64,0.0057,0.636,0.644,"0.6360,0.6440"
A3,mgsm,fr,pass_at_1,2,0.602,0.0085,0.596,0.608,"0.6080,0.5960"
A3,mgsm,ja,pass_at_1,2,0.352,0.0057,0.348,0.356,"0.3560,0.3480"
A3,mgsm,ru,pass_at_1,2,0.564,0.0226,0.548,0.58,"0.5800,0.5480"
A3,mgsm,sw,pass_at_1,2,0.03,0.0085,0.024,0.036,"0.0360,0.0240"
A3,mgsm,th,pass_at_1,2,0.24,0.0057,0.236,0.244,"0.2440,0.2360"
A3,mgsm,zh,pass_at_1,2,0.69,0.0028,0.688,0.692,"0.6880,0.6920"
A4,aime2024,en,maj_at_8,1,0.3333,0.0,0.3333,0.3333,0.3333
A4,aime2024,en,pass_at_1,1,0.2667,0.0,0.2667,0.2667,0.2667
A4,amc23,en,maj_at_4,1,0.675,0.0,0.675,0.675,0.6750
A4,amc23,en,pass_at_1,1,0.525,0.0,0.525,0.525,0.5250
A4,math500,en,pass_at_1,1,0.62,0.0,0.62,0.62,0.6200
A4,mgsm,bn,pass_at_1,1,0.184,0.0,0.184,0.184,0.1840
A4,mgsm,de,pass_at_1,1,0.556,0.0,0.556,0.556,0.5560
A4,mgsm,en,pass_at_1,1,0.824,0.0,0.824,0.824,0.8240
A4,mgsm,es,pass_at_1,1,0.648,0.0,0.648,0.648,0.6480
A4,mgsm,fr,pass_at_1,1,0.644,0.0,0.644,0.644,0.6440
A4,mgsm,ja,pass_at_1,1,0.348,0.0,0.348,0.348,0.3480
A4,mgsm,ru,pass_at_1,1,0.588,0.0,0.588,0.588,0.5880
A4,mgsm,sw,pass_at_1,1,0.032,0.0,0.032,0.032,0.0320
A4,mgsm,th,pass_at_1,1,0.236,0.0,0.236,0.236,0.2360
A4,mgsm,zh,pass_at_1,1,0.688,0.0,0.688,0.688,0.6880
Base,aime2024,en,maj_at_8,1,0.3333,0.0,0.3333,0.3333,0.3333
Base,aime2024,en,pass_at_1,1,0.2667,0.0,0.2667,0.2667,0.2667
Base,amc23,en,pass_at_1,1,0.5,0.0,0.5,0.5,0.5000
Base,math500,en,pass_at_1,1,0.594,0.0,0.594,0.594,0.5940
Base,mgsm,bn,pass_at_1,2,0.18,0.0,0.18,0.18,"0.1800,0.1800"
Base,mgsm,de,pass_at_1,2,0.572,0.0,0.572,0.572,"0.5720,0.5720"
Base,mgsm,en,pass_at_1,2,0.804,0.0,0.804,0.804,"0.8040,0.8040"
Base,mgsm,es,pass_at_1,2,0.656,0.0,0.656,0.656,"0.6560,0.6560"
Base,mgsm,fr,pass_at_1,2,0.612,0.0,0.612,0.612,"0.6120,0.6120"
Base,mgsm,ja,pass_at_1,2,0.372,0.0,0.372,0.372,"0.3720,0.3720"
Base,mgsm,ru,pass_at_1,2,0.588,0.0,0.588,0.588,"0.5880,0.5880"
Base,mgsm,sw,pass_at_1,2,0.024,0.0,0.024,0.024,"0.0240,0.0240"
Base,mgsm,th,pass_at_1,2,0.236,0.0,0.236,0.236,"0.2360,0.2360"
Base,mgsm,zh,pass_at_1,2,0.688,0.0,0.688,0.688,"0.6880,0.6880"
