cell,arm,seed,benchmark,language,n_samples,pass_at_1,maj_at_4,maj_at_8,se,ci_95_lo,ci_95_hi,ci_95_str
Base,Base,,amc23,en,40,0.5,0.0,,0.07905694150420949,0.3450483946517494,0.6549516053482506,"0.500 [0.345, 0.655]"
Base,Base,,aime2024,en,30,0.2666666666666666,,0.3333333333333333,0.08073734277593311,0.10842147482583772,0.42491185850749547,"0.267 [0.108, 0.425]"
Base,Base,,math500,en,500,0.594,,,0.021961967125009547,0.5509545444349813,0.6370454555650187,"0.594 [0.551, 0.637]"
Base (P9),Base,,mgsm,sw,250,0.024,,,0.009679669415842671,0.005027847944948365,0.042972152055051636,"0.024 [0.005, 0.043]"
Base (P9),Base,,mgsm,es,250,0.656,,,0.030044234055805117,0.597113301250622,0.714886698749378,"0.656 [0.597, 0.715]"
Base (P9),Base,,mgsm,th,250,0.236,,,0.026855464993181557,0.18336328861336415,0.2886367113866358,"0.236 [0.183, 0.289]"
Base (P9),Base,,mgsm,fr,250,0.612,,,0.030819214785584657,0.551594339020254,0.672405660979746,"0.612 [0.552, 0.672]"
Base (P9),Base,,mgsm,ru,250,0.588,,,0.03112915032569954,0.5269868653616289,0.6490131346383711,"0.588 [0.527, 0.649]"
Base (P9),Base,,mgsm,de,250,0.572,,,0.031293194148248916,0.510665339469432,0.6333346605305679,"0.572 [0.511, 0.633]"
Base (P9),Base,,mgsm,en,250,0.804,,,0.02510649318403508,0.7547912733592913,0.8532087266407088,"0.804 [0.755, 0.853]"
Base (P9),Base,,mgsm,zh,250,0.688,,,0.029302286600195557,0.6305675182636167,0.7454324817363832,"0.688 [0.631, 0.745]"
Base (P9),Base,,mgsm,bn,250,0.18,,,0.024298148077579906,0.13237562976794337,0.22762437023205662,"0.180 [0.132, 0.228]"
Base (P9),Base,,mgsm,ja,250,0.372,,,0.030569003909188798,0.31208475233798993,0.43191524766201006,"0.372 [0.312, 0.432]"
A1_42,A1,42.0,aime2024,en,30,0.1,,0.3,0.05477225575051661,0.0,0.20735362127101256,"0.100 [0.000, 0.207]"
A1_42,A1,42.0,math500,en,500,0.588,,,0.02201163328787757,0.5448571987557599,0.63114280124424,"0.588 [0.545, 0.631]"
A1_42,A1,42.0,amc23,en,40,0.575,0.0,,0.07816249100431741,0.42180151763153784,0.7281984823684621,"0.575 [0.422, 0.728]"
A1_123,A1,123.0,aime2024,en,30,0.2333333333333333,,0.4,0.07722022379508468,0.08198169469496733,0.38468497197169926,"0.233 [0.082, 0.385]"
A1_123,A1,123.0,math500,en,500,0.616,,,0.02175058619899703,0.5733688510499658,0.6586311489500342,"0.616 [0.573, 0.659]"
A1_123,A1,123.0,amc23,en,40,0.45,0.775,,0.07866066361276136,0.2958250993189877,0.6041749006810123,"0.450 [0.296, 0.604]"
A1_7,A1,7.0,math500,en,500,0.586,,,0.0220274374360705,0.5428262226253018,0.6291737773746982,"0.586 [0.543, 0.629]"
A1_7,A1,7.0,amc23,en,40,0.675,0.75,,0.07405656621799311,0.5298491302127335,0.8201508697872666,"0.675 [0.530, 0.820]"
A1_7,A1,7.0,aime2024,en,30,0.1,,0.2666666666666666,0.05477225575051661,0.0,0.20735362127101256,"0.100 [0.000, 0.207]"
A2_42,A2,42.0,amc23,en,40,0.525,0.0,,0.07895805848676878,0.3702422053659332,0.6797577946340668,"0.525 [0.370, 0.680]"
A2_42,A2,42.0,aime2024,en,30,0.1666666666666666,,0.3333333333333333,0.06804138174397716,0.033305558448471384,0.3000277748848618,"0.167 [0.033, 0.300]"
A2_42,A2,42.0,math500,en,500,0.602,,,0.02189045454073533,0.5590947091001587,0.6449052908998413,"0.602 [0.559, 0.645]"
A2_123,A2,123.0,amc23,en,40,0.625,0.8,,0.07654655446197431,0.47496875325453036,0.7750312467454696,"0.625 [0.475, 0.775]"
